field_set,fields,n_queries_evaluated,k,map
numeric+codes+text,Last location;Other_descriptions;diameter_cm;madreporite_descriptions;num_apparent_arms;num_arms;reticulation_descriptions;rosette_descriptions;short_arm_codes;stripe_descriptions;volume_ml,61,10,0.183932
numeric+codes+text,Last location;Other_descriptions;diameter_cm;madreporite_descriptions;num_apparent_arms;num_arms;reticulation_descriptions;rosette_descriptions;short_arm_codes;stripe_descriptions;volume_ml,61,20,0.197901
numeric+codes+text,Last location;Other_descriptions;diameter_cm;madreporite_descriptions;num_apparent_arms;num_arms;reticulation_descriptions;rosette_descriptions;short_arm_codes;stripe_descriptions;volume_ml,61,50,0.205404
numeric+text,Last location;Other_descriptions;diameter_cm;madreporite_descriptions;num_apparent_arms;num_arms;reticulation_descriptions;rosette_descriptions;stripe_descriptions;volume_ml,61,1,0.016393
numeric+text,Last location;Other_descriptions;diameter_cm;madreporite_descriptions;num_apparent_arms;num_arms;reticulation_descriptions;rosette_descriptions;stripe_descriptions;volume_ml,61,5,0.151639
numeric+text,Last location;Other_descriptions;diameter_cm;madreporite_descriptions;num_apparent_arms;num_arms;reticulation_descriptions;rosette_descriptions;stripe_descriptions;volume_ml,61,10,0.183932
numeric+text,Last location;Other_descriptions;diameter_cm;madreporite_descriptions;num_apparent_arms;num_arms;reticulation_descriptions;rosette_descriptions;stripe_descriptions;volume_ml,61,20,0.197901
numeric+text,Last location;Other_descriptions;diameter_cm;madreporite_descriptions;num_apparent_arms;num_arms;reticulation_descriptions;rosette_descriptions;stripe_descriptions;volume_ml,61,50,0.205404
numeric_only,diameter_cm;num_apparent_arms;num_arms;volume_ml,61,1,0.098361
numeric_only,diameter_cm;num_apparent_arms;num_arms;volume_ml,61,5,0.178689
numeric_only,diameter_cm;num_apparent_arms;num_arms;volume_ml,61,10,0.203695
numeric_only,diameter_cm;num_apparent_arms;num_arms;volume_ml,61,20,0.221266
numeric_only,diameter_cm;num_apparent_arms;num_arms;volume_ml,61,50,0.225933
single:Last location,Last location,61,1,0.049180
single:Last location,Last location,61,5,0.075137
single:Last location,Last location,61,10,0.088407
single:Last location,Last location,61,20,0.112454
single:Last location,Last location,61,50,0.123761
single:Other_descriptions,Other_descriptions,61,1,0.000000
